订购日期,所属区域,产品类别,数量,销售额,成本
10/22/2007,苏州,睡袋,1686,"39,397.66 ","37,076.48 "
11/27/2007,苏州,睡袋,2097,"49,001.72 ","46,733.77 "
12/12/2007,苏州,睡袋,2097,"49,001.72 ","45,828.00 "
1/24/2007,常熟,睡袋,204,"10,093.88 ","11,540.72 "
2/13/2007,常熟,睡袋,342,"18,698.03 ","21,083.87 "
3/21/2007,常熟,睡袋,1272,"48,784.29 ","41,149.97 "
4/28/2007,常熟,睡袋,204,"11,153.21 ","12,576.34 "
5/25/2007,常熟,睡袋,1050,"40,270.05 ","20,948.79 "
10/19/2007,苏州,彩盒,198,"7,667.22 ","6,409.09 "
11/20/2007,苏州,彩盒,198,"11,897.41 ","9,776.16 "
1/24/2007,苏州,宠物用品,198,"14,849.73 ","13,332.01 "
2/13/2007,苏州,宠物用品,200,"13,530.92 ","14,250.18 "
3/21/2007,苏州,宠物用品,200,"12,818.76 ","12,387.53 "
2/13/2007,昆山,宠物用品,42,"2,841.49 ","2,887.94 "
3/21/2007,昆山,宠物用品,250,"16,913.64 ","17,776.79 "
1/24/2007,昆山,宠物用品,1662,"63,741.74 ","58,675.42 "
12/4/2007,南京,彩盒,170,"11,816.55 ","9,611.17 "
12/4/2007,南京,彩盒,170,"7,869.30 ","6,376.87 "
12/12/2007,南京,彩盒,170,"13,292.05 ","9,870.29 "
9/27/2007,无锡,暖靴,132,"1,175.05 ",897.58 
11/30/2007,常熟,睡袋,252,"3,009.74 ","2,236.47 "
11/30/2007,常熟,睡袋,144,"3,461.07 ","1,816.05 "
11/30/2007,常熟,睡袋,144,"3,866.99 ","2,005.79 "
11/30/2007,常熟,睡袋,144,"4,539.98 ","2,084.90 "
11/30/2007,常熟,睡袋,118,"7,563.07 ","7,474.80 "
11/30/2007,常熟,睡袋,82,"5,255.69 ","5,116.45 "
12/12/2007,常熟,睡袋,120,"35,794.61 ","32,019.10 "
11/30/2007,常熟,睡袋,324,"104,384.78 ","94,327.10 "
6/18/2007,昆山,睡袋,138,"48,084.16 ","42,369.00 "
7/16/2007,常熟,睡袋,156,"20,008.84 ","19,951.33 "
9/14/2007,常熟,睡袋,366,"53,107.06 ","48,408.63 "
10/19/2007,常熟,睡袋,36,"5,581.50 ","5,182.24 "
11/20/2007,常熟,睡袋,24,"11,636.59 ","9,911.91 "
9/24/2007,苏州,暖靴,102,"52,784.81 ","44,501.74 "
11/30/2007,苏州,警告标,54,"27,944.90 ","23,806.40 "
11/20/2007,苏州,睡袋,36,"19,618.05 ","16,577.89 "
8/15/2007,常熟,服装,24,"13,078.70 ","11,019.33 "
4/26/2007,无锡,彩盒,366,"144,198.16 ","99,854.08 "
6/22/2007,无锡,彩盒,162,"69,041.05 ","55,050.93 "
6/18/2007,苏州,睡袋,18,"20,953.33 ","19,394.07 "
4/28/2007,常熟,彩盒,42,"48,891.11 ","45,271.40 "
10/19/2007,苏州,睡袋,24,"29,759.11 ","27,641.66 "
12/29/2007,无锡,警告标,18,"22,319.33 ","20,792.48 "
3/16/2007,常熟,宠物用品,12 ,"1,140.38 ","1,165.88 "
11/30/2007,苏州,睡袋,12 ,"1,140.38 ","1,152.30 "
11/30/2007,苏州,睡袋,36 ,"3,890.61 ","3,882.33 "
11/30/2007,苏州,睡袋,36 ,"3,890.61 ","3,777.81 "
11/30/2007,苏州,睡袋,9,785.71 ,786.35 
11/30/2007,苏州,睡袋,9,785.71 ,786.35 
12/12/2007,苏州,睡袋,150,"13,095.19 ","12,226.70 "
5/31/2007,常熟,彩盒,150,"13,095.19 ","12,272.38 "
6/13/2007,常熟,彩盒,312 ,"31,428.46 ","28,528.29 "
7/16/2007,常熟,彩盒,312 ,"31,428.46 ","28,502.25 "
8/22/2007,常熟,彩盒,150 ,"16,210.86 ","14,968.87 "
9/14/2007,常熟,彩盒,150 ,"16,210.86 ","14,944.88 "
11/30/2007,苏州,警告标,150 ,"14,254.78 ","12,854.72 "
11/30/2007,苏州,警告标,150 ,"14,254.78 ","11,955.36 "
11/30/2007,苏州,警告标,326 ,"32,838.71 ","29,813.85 "
11/30/2007,苏州,睡袋,326 ,"32,838.71 ","29,921.65 "
6/18/2007,常熟,睡袋,255 ,"24,233.13 ","24,111.11 "
7/19/2007,常熟,睡袋,255 ,"24,233.13 ","24,113.11 "
8/22/2007,常熟,睡袋,150 ,"14,254.78 ","12,883.99 "
9/18/2007,常熟,睡袋,150 ,"14,254.78 ","13,198.98 "
